QuestionID,Question,SentenceID,Sentence,Label
Q1,how are glacier caves formed?,S1,A partly submerged glacier cave on Perito Moreno Glacier .,0
Q2,how are glacier caves formed?,S2,The ice facade is approximately 60 m high,0
Q3,how are glacier caves formed?,S3,Ice formations in the Titlis glacier cave,0
Q4,how are glacier caves formed?,S4,A glacier cave is a cave formed within the ice of a glacier .,1
Q5,how are glacier caves formed?,S5,"Glacier caves are often called ice caves , but this term is properly used to describe bedrock caves that contain year-round ice.",0
Q6,How are the directions of the velocity and force vectors related in a circular motion,S6,"In physics , circular motion is a movement of an object along the circumference of a circle or rotation along a circular path.",0
Q7,How are the directions of the velocity and force vectors related in a circular motion,S7,"It can be uniform, with constant angular rate of rotation (and constant speed), or non-uniform with a changing rate of rotation.",0
Q8,How are the directions of the velocity and force vectors related in a circular motion,S8,The rotation around a fixed axis of a three-dimensional body involves circular motion of its parts.,0
Q9,How are the directions of the velocity and force vectors related in a circular motion,S9,The equations of motion describe the movement of the center of mass of a body.,0
Q10,How are the directions of the velocity and force vectors related in a circular motion,S10,"Examples of circular motion include: an artificial satellite orbiting the Earth at constant height, a stone which is tied to a rope and is being swung in circles, a car turning through a curve in a race track , an electron moving perpendicular to a uniform magnetic field , and a gear turning inside a mechanism.",0
Q11,How are the directions of the velocity and force vectors related in a circular motion,S11,"Since the object's velocity vector is constantly changing direction, the moving object is undergoing acceleration by a centripetal force in the direction of the center of rotation.",0
Q12,How are the directions of the velocity and force vectors related in a circular motion,S12,"Without this acceleration, the object would move in a straight line, according to Newton's laws of motion .",0
Q13,how did apollo creed die,S13,"Apollo Creed is a fictional character from the Rocky films , initially portrayed as the Undisputed Heavyweight Champion of the World.",0
Q14,how did apollo creed die,S14,He was played by Carl Weathers .,0
Q15,how did apollo creed die,S15,"Creed had multiple nicknames, including The Master of Disaster, The King of Sting, The Dancing Destroyer, The Prince of Punch, The One and Only and The Count of Monte Fisto.",0
Q16,how did apollo creed die,S16,"Urban legend states that Apollo Creed's name is a wordplay on the Apostles' Creed , a statement of belief used in Christian churches.",0
Q17,how did apollo creed die,S17,All of Apollo's championship fights were scheduled for the 15 round distance.,0
Q18,how did apollo creed die,S18,Championship fights did not convert from 15 rounds to 12 rounds until 1987.,0
Q19,how did apollo creed die,S19,"Rocky Balboa is often wrongly credited with popularizing the red, white, and blue trunks; Creed was the first man to wear them (latterly worn by Rocky Balboa in the 3rd and 4th installments and finally by Tommy ""The Machine"" Gunn ( Tommy Morrison ) in the 5th installment) although normally he wore red and white, as seen in Rocky II.",0
Q20,how did apollo creed die,S20,Balboa's signature colors were black and gold—colors he used in the latest movie .,0
Q21,how long is the term for federal judges,S21,"In the United States, the title of federal judge usually means a judge appointed by the President of the United States and confirmed by the United States Senate pursuant to the Appointments Clause in Article II of the United States Constitution .",0
